sex,age,rf_ldl,rf_sbp,rf_lpa,rf_lsi,rf_dmp
1,53.5,3.3709593,128.36263,22,.7802037,.068091013
1,53.599998,3.3691063,128.42029,22,.7804985,.068618186
1,53.700001,3.3672445,128.47777,22,.78070605,.069147423
1,53.799999,3.3653746,128.53506,22,.78094381,.069678694
1,53.900002,3.3634961,128.59216,22,.7811709,.070212007
1,54,3.3616095,128.64905,22,.78136683,.070747338
1,54.099998,3.3597147,128.70576,22,.78154135,.071284659
1,54.200001,3.3578124,128.76228,22,.78172863,.071824014
1,54.299999,3.3559024,128.81862,22,.78190666,.072365336
1,54.400002,3.3539851,128.87476,22,.78206623,.072908655
1,54.5,3.3520603,128.93069,22,.78221989,.073453926
1,54.599998,3.3501287,128.98645,22,.78234416,.074001148
1,54.700001,3.3481901,129.04204,22,.78246891,.074550331
1,54.799999,3.3462448,129.0974,22,.78259671,.075101428
1,54.900002,3.3442926,129.1526,22,.78270411,.075654462
1,55,3.3423345,129.20761,22,.78279114,.076209396
1,55.099998,3.3403702,129.26242,22,.78289342,.076766215
1,55.200001,3.3383996,129.31706,22,.78295183,.077324934
1,55.299999,3.3364236,129.37151,22,.7829951,.077885509
1,55.400002,3.3344417,129.42577,22,.78300571,.078447968
1,55.5,3.3324544,129.47984,22,.78296793,.079012245
1,55.599998,3.330462,129.53374,22,.78295529,.079578362
1,55.700001,3.328464,129.58745,22,.78289461,.080146313
1,55.799999,3.3264616,129.64099,22,.7828517,.080716059
1,55.900002,3.3244543,129.69432,22,.7827732,.081287615
1,56,3.3224423,129.74748,22,.78271097,.08186093
1,56.099998,3.320426,129.80046,22,.78261054,.082436018
1,56.200001,3.3184056,129.85326,22,.78255939,.083012864
1,56.299999,3.316381,129.90587,22,.78250778,.083591446
1,56.400002,3.3143528,129.95833,22,.78241253,.084171772
1,56.5,3.3123209,130.01057,22,.78233004,.084753789
1,56.599998,3.3102853,130.06267,22,.7822035,.085337505
1,56.700001,3.3082466,130.11456,22,.7819978,.085922934
1,56.799999,3.3062048,130.16629,22,.78181517,.086510003
1,56.900002,3.3041599,130.21783,22,.781663,.087098747
1,57,3.3021123,130.26921,22,.78146672,.087689117
1,57.099998,3.3000622,130.3204,22,.78127289,.088281125
1,57.200001,3.2980096,130.37141,22,.78109747,.08887475
1,57.299999,3.2959549,130.42227,22,.78089821,.089469954
1,57.400002,3.2938981,130.47293,22,.78069139,.090066776
1,57.5,3.2918394,130.52344,22,.78051388,.090665124
1,57.599998,3.2897789,130.57376,22,.78030467,.091265038
1,57.700001,3.2877169,130.62389,22,.78007531,.091866516
1,57.799999,3.2856529,130.67389,22,.77979743,.092469491
1,57.900002,3.2835872,130.72369,22,.7794944,.093074001
1,58,3.2815199,130.77332,22,.77926099,.093679979
